title,text,label
"SpaceX Launches Falcon Heavy Carrying Military Space Plane","SpaceX successfully launched its Falcon Heavy rocket carrying the US military's experimental X-37B space plane on a mission to orbit.",1
"OpenAI CEO Sam Altman Returns to Board after Investigation","OpenAI announced that CEO Sam Altman will rejoin the company's board of directors, months after he was briefly ousted by the previous board.",1
"Federal Reserve Holds Interest Rates Steady","The US Federal Reserve decided to keep its benchmark interest rate unchanged, signaling that rate hikes may be finished but cuts are not imminent.",1
"WHO Declares End to COVID-19 Global Health Emergency","The World Health Organization officially declared that the COVID-19 pandemic is no longer a public health emergency of international concern.",1
"Apple Announces Vision Pro Mixed-Reality Headset","Apple revealed its highly anticipated Vision Pro headset, entering the mixed-reality market with a high-end device priced at $3499.",1
"NASA Admits Moon Landing Was Filmed in Hollywood Studio","In a shocking press conference, NASA officials revealed that the Apollo 11 moon landing was staged to win the Cold War space race.",0
"Scientists Discover That Eating Chocolate Cures Cancer","A new study published in an international journal claims that consuming dark chocolate daily completely eradicates cancer cells from the human body.",0
"World Government Mandates Microchip Implants for All Citizens","A leaked document reveals plans for a unified global government to enforce mandatory RFID microchip implants under the guise of public health.",0
"Tech Billionaire Builds Underground City on Mars for the Wealthy","Reports claim that a prominent space entrepreneur has secretly completed a fully functioning subterranean colony on Mars to escape Earth's climate crisis.",0
"Time Traveler Warns of Alien Invasion Scheduled for Next Month","A viral video features a man claiming to be from the year 2714 who warns that extraterrestrial beings will arrive on Earth to colonize the planet.",0
